split,model,accuracy,precision,recall,f1,sharpe_ratio,cumulative_return
validation,XGBoost,0.4860557768924303,0.47391304347826085,0.9316239316239316,0.6282420749279539,-1.1574553802091945,-0.5004680086359707
validation,ARIMAX,0.5059760956175299,0.4755244755244755,0.5811965811965812,0.5230769230769231,-1.1364107502426604,-0.4073594491280633
validation,LSTM,0.46613545816733065,0.46613545816733065,1.0,0.6358695652173914,-1.5890522454622542,-0.6118902929527505
validation,Logistic Stacking,0.5378486055776892,0.5102040816326531,0.21367521367521367,0.30120481927710846,-1.416599978054612,-0.33179143185648075
validation,Context-Aware XGBoost Stacking,0.9920318725099602,1.0,0.9829059829059829,0.9913793103448276,10.364871904741342,15.264707920350716
test,XGBoost,0.5673469387755102,0.6262626262626263,0.7948717948717948,0.7005649717514124,3.6201015531781375,1.5703857371472827
test,ARIMAX,0.42857142857142855,0.5888888888888889,0.33974358974358976,0.43089430894308944,2.2593235177541073,0.5493980854046916
test,LSTM,0.636734693877551,0.636734693877551,1.0,0.7780548628428927,4.16854016863923,2.1429319086404495
test,Logistic Stacking,0.4326530612244898,0.7741935483870968,0.15384615384615385,0.25668449197860965,2.4432675571683085,0.41020068506372476
test,Context-Aware XGBoost Stacking,0.37551020408163266,0.5652173913043478,0.08333333333333333,0.1452513966480447,1.3260173732359568,0.12740706191560824
